,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
38324-ang,348-004,ea,c,,100,f2,1,1,1,1,1,1,0.844,0.806,0.853,0.829,0.843,0.87,0.5
38324-ang,348-004,ea,c,,100,rec,1,1,1,1,1,1,0.844,0.806,0.853,0.829,0.843,0.87,0.5
38324-ang,348-004,en,fc,,200,acc,1,1,1,1,1,1,0.844,0.806,0.853,0.829,0.843,0.886,0.5
14122-ang,348-004,p,fc,,60,rec,1,1,1,1,1,1,0.818,0.775,0.861,0.816,0.842,0.847,1
24-ang,348-004,ea,fc,,30,pre,1,1,1,1,1,1,0.818,0.775,0.861,0.816,0.842,0.883,0.5
24-ang,348-004,ea,fc,,30,acc,1,1,1,1,1,1,0.818,0.775,0.861,0.816,0.842,0.883,0.5
14122-rad,348-004,m,fc,,15,acc,1,1,1,1,1,1,0.818,0.775,0.861,0.816,0.842,0.887,0.5
14122-ang,348-004,ea,fc,,60,pre,1,1,1,1,1,1,0.818,0.775,0.861,0.816,0.842,0.87,1
65536-ang,348-004,ie,c,,100,rec,1,1,1,1,1,1,0.779,0.659,0.9,0.761,0.839,0.811,1
38324-ang,348-004,z,,,100,acc,1,1,1,1,1,1,0.831,0.784,0.853,0.817,0.838,0.858,1
38324-rad,348-004,z,fc,,60,acc,1,1,1,1,1,1,0.831,0.784,0.853,0.817,0.838,0.893,0.5
38324-ang,348-004,ea,fc,,100,rec,1,1,1,1,1,1,0.831,0.784,0.853,0.817,0.838,0.889,0.5
24-ang,348-004,ea,c,,300,f2,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.873,1
24-ang,348-004,ea,c,,300,rec,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.873,1
24-ang,348-004,ea,c,,300,acc,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.873,1
14122-ang,348-004,ea,c,,300,pre,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.844,1
24-ang,348-004,ea,fc,,30,f2,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.898,0.5
14122-rad,348-004,m,fc,,15,pre,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.883,0.5
24-rad,348-004,ea,f,,15,pre,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.829,0.5
14122-ang,348-004,ea,fc,,30,rec,0.993,0.992,0.992,0.992,0.992,1,0.805,0.756,0.861,0.805,0.838,0.837,1
14122-ang,348-004,ea,fc,,100,pre,1,1,1,1,1,1,0.805,0.756,0.861,0.805,0.838,0.829,1
98765-rad,348-004,ea,fc,,200,pre,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.786,1
98765-ang,348-004,ea,fc,,200,pre,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.815,1
98765-ang,348-004,ea,fc,,200,acc,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.817,1
98765-ang,348-004,ie,fc,,300,f2,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.808,0.5
98765-ang,348-004,en,f,,30,f2,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.806,1
98765-ang,348-004,en,f,,30,acc,1,1,1,1,1,1,0.792,0.744,0.865,0.8,0.838,0.806,1
65536-ang,348-008,ie,fc,rando,15,rec,1,1,1,1,1,1,0.948,0.7,0.875,0.778,0.833,0.931,
98765-rad,348-004,ea,fc,,30,pre,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.814,0.5
65536-rad,348-004,p,fc,,15,pre,1,1,1,1,1,1,0.818,0.722,0.867,0.788,0.833,0.827,0.5
24-ang,348-004,p,c,,100,pre,0.882,0.878,0.864,0.871,0.867,0.952,0.844,0.833,0.833,0.833,0.833,0.85,0.5
98765-ang,348-004,ea,fc,,15,f2,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.816,0.5
98765-ang,348-004,ea,fc,,15,rec,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.816,0.5
65536-rad,348-008,z,fc,adasyns,15,pre,1,1,1,1,1,1,0.948,0.7,0.875,0.778,0.833,0.87,
65536-rad,348-008,p,fc,smote,60,acc,1,1,1,1,1,1,0.948,0.7,0.875,0.778,0.833,0.962,
65536-rad,348-008,p,fc,smote,200,acc,1,1,1,1,1,1,0.948,0.7,0.875,0.778,0.833,0.969,
1379-ang,348-004,ie,fc,,300,pre,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.827,0.5
98765-ang,348-004,ea,f,,60,acc,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.813,0.5
