,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
14122-rad,348-004,m,c,,200,pre,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.78,1
14122-rad,348-004,m,c,,200,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.78,1
65536-ang,348-004,r,,,300,pre,0.941,0.908,0.977,0.941,0.962,0.991,0.74,0.647,0.733,0.688,0.714,0.767,0.5
65536-ang,348-004,r,,,300,acc,0.941,0.908,0.977,0.941,0.962,0.992,0.74,0.647,0.733,0.688,0.714,0.751,0.5
14122-rad,348-004,p,fc,,300,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.808,1
14122-rad,348-004,p,fc,,30,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.795,1
65536-rad,348-008,r,fc,adasyns,100,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.944,
24-ang,348-004,ie,fc,,100,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.805,0.5
24-ang,348-004,ie,fc,,100,rec,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.805,0.5
24-ang,348-004,ie,fc,,300,rec,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.822,0.5
24-ang,348-004,ie,fc,,60,pre,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.803,0.5
38324-ang,348-008,m,f,smote,30,rec,1,1,1,1,1,1,0.883,0.6,0.75,0.667,0.714,0.915,
24-ang,348-004,r,c,,300,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.782,0
14122-rad,348-004,p,c,,300,pre,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.808,1
38324-rad,348-004,p,f,,100,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.847,1
14122-ang,348-004,p,f,,15,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.8,1
14122-ang,348-004,p,f,,15,rec,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.8,1
24-ang,348-004,m,,,300,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.709,0.5
38324-ang,348-004,m,c,,15,f2,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.793,1
65536-ang,348-004,r,fc,,200,acc,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.779,1
65536-rad,348-004,r,fc,,200,rec,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.807,0.5
65536-rad,348-008,p,fc,smote,100,f2,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.955,
65536-rad,348-008,p,fc,smote,100,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.958,
65536-rad,348-008,p,fc,adasyns,30,acc,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.928,
38324-rad,348-004,r,fc,,300,f2,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.86,0.5
38324-rad,348-004,r,fc,,300,rec,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.86,0.5
38324-rad,348-004,r,fc,,15,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.834,1
98765-ang,348-004,r,fc,,200,pre,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.754,0.5
24-ang,348-004,ie,c,,200,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.73,0.5
65536-ang,348-004,en,fc,,15,pre,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.812,1
65536-ang,348-004,en,fc,,15,acc,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.812,1
1379-ang,348-004,en,c,,300,pre,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.765,0.5
1379-ang,348-004,en,c,,300,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.765,0.5
24-rad,348-004,p,c,,15,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.793,1
1379-ang,348-004,p,fc,,15,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.839,0.5
38324-rad,348-004,p,,,60,f2,1,1,1,1,1,1,0.701,0.641,0.735,0.685,0.714,0.749,1
38324-rad,348-004,p,,,60,rec,1,1,1,1,1,1,0.701,0.641,0.735,0.685,0.714,0.749,1
38324-rad,348-004,p,,,200,pre,1,1,1,1,1,1,0.701,0.641,0.735,0.685,0.714,0.815,1
38324-rad,348-004,p,,,200,acc,1,1,1,1,1,1,0.701,0.641,0.735,0.685,0.714,0.815,1
24-rad,348-004,m,f,,15,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.79,0.5
98765-rad,348-004,ie,c,,100,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.773,1
14122-rad,348-004,z,fc,,300,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.815,1
98765-ang,348-004,z,f,,200,f2,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.761,1
98765-ang,348-004,r,c,,200,rec,0.982,0.969,0.992,0.98,0.987,0.998,0.688,0.659,0.73,0.692,0.714,0.718,0.5
38324-ang,348-004,p,fc,,100,f2,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.824,1
38324-ang,348-004,p,fc,,100,rec,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.824,1
38324-ang,348-004,p,fc,,100,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.824,1
38324-ang,348-004,p,fc,,100,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.824,1
38324-ang,348-004,en,,,300,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.829,0.5
38324-ang,348-004,en,,,300,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.829,0.5
98765-rad,348-004,ie,f,,100,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.777,1
65536-rad,348-004,m,fc,,60,pre,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.791,0.5
65536-rad,348-008,ea,fc,adasyns,100,pre,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.933,
65536-rad,348-008,ea,fc,adasyns,30,acc,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.909,
65536-rad,348-008,ea,fc,adasyns,100,acc,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.933,
24-ang,348-004,r,f,,100,acc,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.81,0.5
65536-rad,348-008,ie,fc,rando,60,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.949,
65536-rad,348-008,en,fc,smote,60,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.92,
65536-rad,348-008,en,fc,rando,15,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.942,
65536-rad,348-008,m,fc,smote,30,f2,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.842,
65536-rad,348-008,m,fc,smote,60,f2,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.886,
65536-rad,348-008,m,fc,smote,60,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.886,
65536-rad,348-008,m,fc,adasyns,30,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.886,
65536-rad,348-004,ea,fc,,30,f2,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.779,0.5
65536-rad,348-004,ea,fc,,30,rec,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.779,0.5
38324-ang,348-004,p,c,,60,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.791,1
1379-ang,348-004,ea,f,,300,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.78,0.5
14122-ang,348-004,z,c,,200,pre,1,1,1,1,1,1,0.649,0.6,0.75,0.667,0.714,0.771,0.5
98765-rad,348-004,p,fc,,30,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.744,1
65536-ang,348-008,en,fc,rando,30,rec,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.94,
98765-ang,348-004,p,fc,,200,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.779,0.5
65536-ang,348-008,m,f,rando,30,f2,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.935,
65536-ang,348-008,m,f,rando,100,acc,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.953,
65536-ang,348-008,m,f,rando,200,acc,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.953,
98765-ang,348-004,r,f,,60,f2,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.745,0.5
98765-ang,348-004,r,f,,60,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.745,0.5
98765-ang,348-004,r,f,,60,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.745,0.5
98765-ang,348-004,r,f,,30,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.743,0.5
14122-rad,348-004,m,,,200,pre,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.746,0.5
98765-ang,348-004,en,c,,30,f2,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.735,1
1379-ang,348-004,p,f,,30,pre,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.759,0.5
98765-rad,348-008,r,fc,rando,30,rec,0.972,0.962,0.983,0.972,0.979,0.998,0.896,0.714,0.714,0.714,0.714,0.884,
98765-rad,348-008,r,fc,rando,15,rec,0.972,0.962,0.983,0.972,0.979,0.998,0.896,0.714,0.714,0.714,0.714,0.884,
65536-ang,348-004,p,fc,,15,f2,1,1,1,1,1,1,0.74,0.647,0.733,0.688,0.714,0.79,0.5
98765-ang,348-004,z,,,30,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.702,1
14122-rad,348-004,ea,c,,100,pre,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.776,1
98765-rad,348-004,ea,f,,30,f2,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.768,0.5
98765-rad,348-004,ea,f,,200,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.756,0.5
38324-rad,348-004,ea,c,,30,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.763,1
38324-rad,348-004,ea,c,,200,acc,1,1,1,1,1,1,0.701,0.641,0.735,0.685,0.714,0.816,1
24-ang,348-004,r,,,60,acc,0.838,0.779,0.904,0.837,0.876,0.921,0.714,0.684,0.722,0.703,0.714,0.749,0.5
38324-rad,348-004,ie,fc,,300,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.824,0.5
14122-ang,348-004,m,f,,100,f2,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.811,1
14122-ang,348-004,m,f,,100,rec,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.811,1
38324-rad,348-004,r,,,30,rec,0.716,0.629,0.961,0.76,0.869,0.825,0.571,0.509,0.794,0.621,0.714,0.637,0.5
98765-ang,348-004,en,f,,30,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.769,1
38324-rad,348-004,r,f,,100,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.812,0.5
14122-ang,348-004,r,fc,,60,rec,1,1,1,1,1,1,0.714,0.684,0.722,0.703,0.714,0.771,1
65536-ang,348-008,z,c,smote,300,pre,1,1,1,1,1,1,0.922,0.6,0.75,0.667,0.714,0.877,
98765-rad,348-004,r,f,,60,acc,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.753,0.5
38324-rad,348-004,ea,fc,,30,pre,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.843,1
38324-rad,348-004,ea,fc,,200,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.833,1
38324-rad,348-004,en,c,,30,acc,1,1,1,1,1,1,0.766,0.75,0.706,0.727,0.714,0.774,1
98765-rad,348-004,ea,c,,100,pre,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.707,1
98765-rad,348-004,ea,c,,60,pre,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.726,1
65536-ang,348-004,r,c,,100,pre,0.974,0.956,0.992,0.974,0.985,0.998,0.74,0.647,0.733,0.688,0.714,0.759,1
14122-ang,348-004,z,,,15,rec,0.93,0.927,0.92,0.924,0.921,0.977,0.649,0.6,0.75,0.667,0.714,0.677,0.5
98765-ang,348-004,m,fc,,300,f2,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.736,1
98765-ang,348-004,m,fc,,300,rec,1,1,1,1,1,1,0.688,0.659,0.73,0.692,0.714,0.736,1
38324-ang,348-004,r,,,60,f2,0.734,0.638,1,0.779,0.898,0.816,0.571,0.509,0.794,0.621,0.714,0.611,0.5
38324-ang,348-004,r,,,60,rec,0.734,0.638,1,0.779,0.898,0.816,0.571,0.509,0.794,0.621,0.714,0.611,0.5
38324-ang,348-004,r,,,60,pre,0.734,0.638,1,0.779,0.898,0.81,0.571,0.509,0.794,0.621,0.714,0.594,0.5
38324-ang,348-004,r,,,60,acc,0.734,0.638,1,0.779,0.898,0.81,0.571,0.509,0.794,0.621,0.714,0.594,0.5
14122-rad,348-004,z,f,,100,pre,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.799,0.5
24-rad,348-004,ie,c,,300,acc,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.822,0.5
24-rad,348-004,ea,c,,30,f2,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.81,1
24-rad,348-004,ea,fc,,30,pre,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.865,1
14122-rad,348-004,r,c,,60,f2,0.959,0.938,0.976,0.957,0.968,0.993,0.779,0.806,0.694,0.746,0.714,0.776,1
38324-rad,348-008,r,fc,smote,60,rec,1,1,1,1,1,1,0.948,1,0.667,0.8,0.714,0.949,
38324-rad,348-008,r,fc,smote,200,rec,1,1,1,1,1,1,0.948,1,0.667,0.8,0.714,0.985,
24-rad,348-004,r,fc,,200,rec,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.86,1
24-rad,348-004,ea,f,,200,f2,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.773,0.5
24-rad,348-004,ea,f,,200,rec,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.773,0.5
14122-ang,348-004,r,fc,,300,f2,1,1,1,1,1,1,0.779,0.806,0.694,0.746,0.714,0.831,0.5
65536-ang,348-008,z,f,adasyns,15,f2,1,1,1,1,1,1,0.857,0.412,0.875,0.56,0.714,0.969,
65536-ang,348-008,z,f,smote,15,acc,1,1,1,1,1,1,0.857,0.412,0.875,0.56,0.714,0.929,
98765-ang,348-004,m,,,200,pre,1,1,1,1,1,1,0.61,0.571,0.757,0.651,0.711,0.676,1
98765-ang,348-004,m,,,200,acc,1,1,1,1,1,1,0.61,0.571,0.757,0.651,0.711,0.676,1
14122-rad,348-004,en,c,,300,f2,1,1,1,1,1,1,0.636,0.587,0.75,0.659,0.711,0.745,0.5
38324-rad,348-004,r,,,30,f2,0.708,0.625,0.945,0.752,0.857,0.817,0.558,0.5,0.794,0.614,0.711,0.639,0.5
38324-rad,348-004,r,,,30,acc,0.705,0.623,0.937,0.748,0.851,0.8,0.558,0.5,0.794,0.614,0.711,0.628,0.5
14122-ang,348-004,z,,,200,pre,1,1,1,1,1,1,0.636,0.587,0.75,0.659,0.711,0.765,0.5
1379-ang,348-004,r,c,,60,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.731,1
1379-ang,348-004,r,c,,30,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.715,1
1379-ang,348-004,z,f,,100,pre,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.717,0.5
1379-ang,348-004,z,f,,60,pre,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.734,1
1379-ang,348-004,z,f,,100,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.717,0.5
1379-ang,348-004,p,c,,15,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.767,1
98765-ang,348-004,ea,,,60,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.722,0
98765-ang,348-004,ea,,,60,pre,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.753,0
98765-ang,348-004,ie,,,30,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.706,1
1379-rad,348-004,p,c,,30,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.761,0.5
1379-rad,348-004,ie,f,,300,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.748,0.5
1379-rad,348-004,ie,f,,300,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.748,0.5
98765-ang,348-004,m,f,,100,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.738,1
1379-ang,348-004,z,fc,,200,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.761,0.5
1379-ang,348-004,z,fc,,200,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.761,0.5
1379-ang,348-004,z,fc,,200,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.761,0.5
98765-rad,348-004,ie,c,,300,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.754,1
98765-rad,348-004,ie,c,,300,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.754,1
98765-rad,348-004,ie,c,,300,pre,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.741,1
98765-rad,348-004,ie,c,,300,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.754,1
98765-ang,348-004,z,f,,200,pre,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.759,1
98765-ang,348-004,z,f,,200,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.759,1
1379-rad,348-004,ie,,,300,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.751,0.5
98765-rad,348-004,m,fc,,30,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.766,0.5
98765-rad,348-004,ea,f,,300,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.764,0.5
98765-rad,348-004,r,,,100,acc,0.827,0.781,0.863,0.82,0.845,0.905,0.675,0.643,0.73,0.684,0.711,0.689,1
1379-rad,348-004,ie,c,,300,acc,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.73,0.5
98765-ang,348-004,en,f,,200,f2,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.747,0
98765-ang,348-004,en,f,,200,rec,1,1,1,1,1,1,0.675,0.643,0.73,0.684,0.711,0.747,0
1379-rad,348-004,ea,fc,,200,f2,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.797,1
1379-rad,348-004,ea,fc,,200,acc,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.797,1
1379-rad,348-004,m,c,,300,pre,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.755,0.5
1379-ang,348-004,m,fc,,15,f2,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.799,0.5
1379-ang,348-004,m,fc,,15,rec,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.797,0.5
1379-ang,348-004,m,fc,,15,pre,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.799,0.5
1379-ang,348-004,m,fc,,15,acc,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.799,0.5
1379-ang,348-004,ie,c,,300,acc,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.791,0.5
1379-ang,348-004,m,,,300,pre,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.707,0.5
1379-ang,348-004,m,f,,100,rec,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.784,0.5
98765-ang,348-004,p,c,,300,f2,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.761,0.5
98765-ang,348-004,p,c,,300,rec,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.761,0.5
1379-rad,348-004,m,fc,,30,pre,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.818,0.5
1379-ang,348-004,p,fc,,100,acc,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.803,0.5
1379-rad,348-004,en,fc,,60,rec,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.811,0.5
98765-ang,348-004,z,f,,100,rec,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.751,1
1379-ang,348-004,en,fc,,60,acc,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.826,0.5
98765-ang,348-004,en,c,,200,pre,1,1,1,1,1,1,0.74,0.743,0.703,0.722,0.71,0.76,0.5
98765-rad,348-004,r,c,,200,f2,0.945,0.95,0.927,0.939,0.932,0.992,0.74,0.743,0.703,0.722,0.71,0.757,1
1379-ang,348-004,r,f,,30,rec,0.996,1,0.992,0.996,0.994,1,0.74,0.743,0.703,0.722,0.71,0.771,0.5
14122-rad,348-004,en,c,,200,rec,0.985,0.976,0.992,0.984,0.989,0.999,0.701,0.667,0.722,0.693,0.71,0.716,1
14122-ang,348-004,z,fc,,60,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.78,0.5
14122-ang,348-004,en,fc,,200,rec,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.803,0.5
14122-ang,348-004,ea,c,,15,acc,0.959,0.967,0.944,0.955,0.949,0.995,0.701,0.667,0.722,0.693,0.71,0.774,0.5
14122-rad,348-004,z,c,,200,rec,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.764,1
14122-rad,348-004,z,c,,300,pre,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.759,1
14122-rad,348-004,z,c,,30,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.787,0.5
14122-rad,348-004,z,c,,200,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.757,1
14122-rad,348-004,ie,fc,,300,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.799,0.5
24-ang,348-004,m,,,100,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.742,0.5
14122-rad,348-004,z,,,200,rec,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.785,1
14122-rad,348-004,z,,,200,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.785,1
14122-ang,348-004,z,c,,15,pre,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.761,1
14122-rad,348-004,m,,,200,rec,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.736,0.5
14122-rad,348-004,ie,c,,200,pre,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.79,1
14122-rad,348-004,ie,c,,200,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.79,1
24-rad,348-004,m,,,300,rec,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.76,0.5
24-ang,348-004,z,c,,15,acc,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.756,1
14122-ang,348-004,z,,,100,f2,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.783,0.5
14122-ang,348-004,z,,,60,pre,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.755,1
14122-rad,348-004,r,fc,,15,pre,1,1,1,1,1,1,0.701,0.667,0.722,0.693,0.71,0.814,1
24-rad,348-004,z,f,,30,acc,0.974,0.984,0.96,0.972,0.965,0.997,0.766,0.781,0.694,0.735,0.71,0.807,0.5
24-rad,348-004,r,f,,60,f2,0.996,0.992,1,0.996,0.998,1,0.766,0.781,0.694,0.735,0.71,0.83,0.5
14122-ang,348-004,r,c,,200,f2,0.956,0.945,0.96,0.952,0.957,0.992,0.766,0.781,0.694,0.735,0.71,0.822,0.5
14122-ang,348-004,r,c,,200,rec,0.956,0.945,0.96,0.952,0.957,0.992,0.766,0.781,0.694,0.735,0.71,0.822,0.5
14122-ang,348-004,r,c,,200,acc,0.978,0.961,0.992,0.976,0.986,0.998,0.766,0.781,0.694,0.735,0.71,0.822,0.5
14122-ang,348-004,r,c,,300,acc,0.978,0.976,0.976,0.976,0.976,0.996,0.766,0.781,0.694,0.735,0.71,0.82,0.5
24-ang,348-004,p,f,,100,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.82,0.5
24-ang,348-004,z,fc,,100,pre,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.814,0.5
24-ang,348-004,r,fc,,300,f2,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.814,1
24-ang,348-004,r,fc,,300,rec,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.814,1
14122-ang,348-004,r,,,300,acc,0.993,0.984,1,0.992,0.997,1,0.766,0.781,0.694,0.735,0.71,0.825,0.5
24-ang,348-004,ie,fc,,15,f2,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.787,1
24-ang,348-004,ie,fc,,15,rec,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.787,1
24-rad,348-004,p,c,,30,rec,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.86,1
38324-rad,348-004,p,,,60,pre,1,1,1,1,1,1,0.688,0.625,0.735,0.676,0.71,0.74,1
24-ang,348-004,m,fc,,100,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.841,1
24-rad,348-004,p,f,,15,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.846,0.5
24-rad,348-004,p,,,100,pre,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.802,0.5
24-rad,348-004,p,,,100,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.802,0.5
24-ang,348-004,r,f,,300,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.825,0.5
38324-ang,348-004,p,c,,15,acc,0.993,0.984,1,0.992,0.997,0.999,0.688,0.625,0.735,0.676,0.71,0.766,1
24-rad,348-004,r,fc,,100,pre,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.875,1
14122-ang,348-004,r,fc,,30,pre,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.831,0.5
14122-ang,348-004,r,fc,,30,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.831,0.5
14122-ang,348-004,r,fc,,15,acc,1,1,1,1,1,1,0.766,0.781,0.694,0.735,0.71,0.858,1
38324-rad,348-004,r,c,,200,acc,1,1,1,1,1,1,0.753,0.727,0.706,0.716,0.71,0.823,0
38324-ang,348-004,m,f,,15,acc,1,1,1,1,1,1,0.753,0.727,0.706,0.716,0.71,0.84,1
