,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,rando,15,acc,0.715,0.733,0.809,0.769,0.793,0.744,0.662
rad,pri,p,smote,15,acc,0.678,0.735,0.704,0.719,0.71,0.723,0.643
rad,pri,p,smote,15,rec,0.674,0.728,0.709,0.718,0.712,0.723,0.63
rad,pri,p,smote,15,f2,0.674,0.728,0.709,0.718,0.712,0.723,0.63
rad,pri,p,smote,15,pre,0.674,0.728,0.707,0.718,0.711,0.719,0.635
rad,pri,p,adasyns,30,pre,0.608,0.754,0.492,0.596,0.529,0.68,0.61
rad,pri,p,adasyns,30,acc,0.602,0.74,0.495,0.593,0.53,0.671,0.603
rad,pri,p,adasyns,15,acc,0.598,0.732,0.497,0.592,0.531,0.668,0.587
rad,pri,p,adasyns,15,pre,0.593,0.732,0.48,0.58,0.516,0.662,0.589
rad,pri,p,adasyns,30,rec,0.567,0.713,0.437,0.542,0.474,0.626,0.561
rad,pri,p,adasyns,30,f2,0.567,0.713,0.437,0.542,0.474,0.626,0.561
rad,pri,p,adasyns,15,f2,0.565,0.71,0.436,0.54,0.472,0.618,0.561
rad,pri,p,adasyns,15,rec,0.563,0.708,0.433,0.538,0.47,0.617,0.562
