,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,rando,300,rec,0.784,0.77,0.901,0.83,0.871,0.856,0.703
rad,pri,p,rando,300,f2,0.778,0.765,0.898,0.826,0.868,0.855,0.698
rad,pri,p,rando,300,acc,0.778,0.766,0.895,0.825,0.866,0.854,0.695
rad,pri,p,rando,300,pre,0.778,0.765,0.897,0.825,0.867,0.851,0.692
rad,pri,p,smote,300,rec,0.786,0.784,0.875,0.827,0.855,0.85,0.701
rad,pri,p,rando,200,rec,0.774,0.763,0.892,0.822,0.863,0.85,0.684
rad,pri,p,smote,300,acc,0.778,0.78,0.865,0.82,0.847,0.849,0.695
rad,pri,p,smote,300,pre,0.781,0.783,0.866,0.822,0.848,0.849,0.693
rad,pri,p,smote,300,f2,0.785,0.784,0.876,0.827,0.856,0.848,0.705
rad,pri,p,rando,200,acc,0.773,0.761,0.892,0.821,0.862,0.848,0.678
rad,pri,p,rando,200,f2,0.776,0.763,0.897,0.824,0.866,0.847,0.689
rad,pri,p,adasyns,300,pre,0.782,0.787,0.861,0.823,0.845,0.846,0.714
rad,pri,p,rando,200,pre,0.776,0.766,0.89,0.823,0.862,0.846,0.691
rad,pri,p,adasyns,300,rec,0.778,0.783,0.859,0.819,0.843,0.845,0.703
rad,pri,p,adasyns,300,f2,0.783,0.789,0.859,0.823,0.844,0.845,0.717
rad,pri,p,smote,200,rec,0.776,0.776,0.868,0.82,0.848,0.842,0.693
rad,pri,p,smote,200,f2,0.776,0.776,0.868,0.82,0.848,0.842,0.693
rad,pri,p,smote,200,acc,0.777,0.776,0.87,0.821,0.85,0.841,0.69
rad,pri,p,adasyns,300,acc,0.776,0.782,0.856,0.817,0.84,0.84,0.698
rad,pri,p,smote,200,pre,0.776,0.776,0.869,0.82,0.849,0.84,0.693
rad,pri,p,adasyns,200,pre,0.77,0.786,0.835,0.81,0.825,0.834,0.708
rad,pri,p,adasyns,200,acc,0.769,0.785,0.836,0.809,0.825,0.834,0.696
rad,pri,p,rando,100,acc,0.761,0.754,0.88,0.812,0.852,0.834,0.671
rad,pri,p,rando,100,rec,0.762,0.754,0.881,0.813,0.853,0.834,0.678
rad,pri,p,rando,100,f2,0.766,0.758,0.881,0.815,0.853,0.834,0.682
rad,pri,p,adasyns,200,f2,0.766,0.788,0.821,0.804,0.814,0.832,0.698
rad,pri,p,adasyns,200,rec,0.768,0.784,0.833,0.808,0.823,0.831,0.702
rad,pri,p,smote,100,f2,0.755,0.768,0.834,0.8,0.82,0.828,0.682
rad,pri,p,smote,100,pre,0.761,0.774,0.836,0.804,0.823,0.828,0.693
rad,pri,p,smote,100,rec,0.758,0.769,0.837,0.802,0.823,0.827,0.679
rad,pri,p,smote,100,acc,0.756,0.77,0.831,0.799,0.818,0.826,0.675
rad,pri,p,rando,100,pre,0.752,0.751,0.863,0.803,0.838,0.823,0.666
rad,pri,p,rando,60,rec,0.747,0.743,0.869,0.801,0.841,0.818,0.658
rad,pri,p,rando,60,f2,0.749,0.744,0.872,0.803,0.843,0.816,0.662
rad,pri,p,smote,60,rec,0.745,0.763,0.818,0.79,0.807,0.813,0.673
rad,pri,p,smote,60,f2,0.745,0.763,0.818,0.79,0.807,0.813,0.673
rad,pri,p,rando,60,acc,0.744,0.744,0.86,0.797,0.834,0.812,0.666
rad,pri,p,smote,60,acc,0.742,0.766,0.806,0.785,0.797,0.811,0.673
rad,pri,p,smote,60,pre,0.742,0.764,0.81,0.786,0.8,0.811,0.672
rad,pri,p,rando,60,pre,0.745,0.746,0.854,0.797,0.83,0.801,0.665
rad,pri,p,smote,30,f2,0.721,0.751,0.782,0.766,0.776,0.786,0.656
rad,pri,p,smote,30,rec,0.725,0.754,0.788,0.77,0.781,0.785,0.657
rad,pri,p,rando,30,acc,0.734,0.742,0.837,0.787,0.816,0.784,0.669
rad,pri,p,adasyns,100,acc,0.723,0.765,0.762,0.763,0.762,0.783,0.644
rad,pri,p,smote,30,acc,0.721,0.753,0.779,0.766,0.774,0.783,0.657
rad,pri,p,smote,30,pre,0.718,0.754,0.771,0.762,0.767,0.782,0.653
rad,pri,p,rando,30,rec,0.733,0.742,0.835,0.786,0.814,0.782,0.669
rad,pri,p,rando,30,f2,0.733,0.742,0.835,0.786,0.814,0.782,0.669
rad,pri,p,adasyns,100,f2,0.714,0.757,0.754,0.756,0.755,0.779,0.631
rad,pri,p,rando,30,pre,0.726,0.739,0.821,0.778,0.803,0.779,0.664
rad,pri,p,adasyns,100,pre,0.716,0.757,0.76,0.758,0.759,0.778,0.635
rad,pri,p,adasyns,100,rec,0.713,0.756,0.752,0.754,0.753,0.776,0.634
rad,pri,p,adasyns,60,f2,0.689,0.74,0.723,0.731,0.726,0.754,0.631
rad,pri,p,adasyns,60,rec,0.684,0.739,0.712,0.725,0.717,0.753,0.626
rad,pri,p,adasyns,60,pre,0.684,0.734,0.722,0.728,0.725,0.753,0.615
rad,pri,p,adasyns,60,acc,0.685,0.738,0.718,0.728,0.722,0.751,0.617
rad,pri,p,rando,15,pre,0.713,0.736,0.794,0.764,0.782,0.748,0.66
rad,pri,p,rando,15,f2,0.715,0.732,0.809,0.769,0.792,0.745,0.662
rad,pri,p,rando,15,rec,0.712,0.73,0.807,0.767,0.791,0.744,0.652
