,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,rando,100,f2,0.751,0.736,0.859,0.793,0.831,0.823,0.654
rad,pri,p,rando,100,pre,0.748,0.733,0.86,0.791,0.831,0.82,0.648
rad,pri,p,adasyns,100,acc,0.75,0.77,0.783,0.776,0.78,0.817,0.65
rad,pri,p,adasyns,100,f2,0.742,0.762,0.776,0.769,0.773,0.816,0.639
rad,pri,p,adasyns,100,pre,0.75,0.769,0.785,0.777,0.782,0.816,0.649
rad,pri,p,adasyns,100,rec,0.745,0.767,0.777,0.772,0.775,0.815,0.642
rad,pri,p,adasyns,60,pre,0.723,0.742,0.767,0.754,0.762,0.794,0.623
rad,pri,p,adasyns,60,acc,0.722,0.744,0.761,0.752,0.758,0.792,0.626
rad,pri,p,adasyns,60,rec,0.725,0.746,0.766,0.755,0.761,0.791,0.622
rad,pri,p,adasyns,60,f2,0.725,0.746,0.766,0.755,0.761,0.791,0.622
rad,pri,p,smote,100,rec,0.72,0.723,0.801,0.76,0.784,0.786,0.61
rad,pri,p,smote,100,pre,0.717,0.722,0.794,0.757,0.779,0.784,0.608
rad,pri,p,smote,100,f2,0.718,0.724,0.795,0.758,0.78,0.784,0.609
rad,pri,p,smote,100,acc,0.721,0.726,0.799,0.761,0.783,0.784,0.611
rad,pri,p,smote,60,rec,0.638,0.737,0.539,0.623,0.57,0.717,0.548
rad,pri,p,smote,60,f2,0.638,0.737,0.539,0.623,0.57,0.717,0.548
rad,pri,p,smote,60,pre,0.639,0.742,0.534,0.621,0.566,0.716,0.549
rad,pri,p,smote,60,acc,0.641,0.745,0.536,0.624,0.568,0.715,0.547
rad,pri,p,rando,60,rec,0.649,0.668,0.727,0.696,0.715,0.703,0.563
rad,pri,p,rando,60,pre,0.648,0.671,0.714,0.692,0.705,0.701,0.562
rad,pri,p,rando,60,f2,0.646,0.667,0.722,0.693,0.71,0.701,0.562
rad,pri,p,rando,60,acc,0.643,0.663,0.726,0.693,0.713,0.7,0.55
rad,pri,p,adasyns,30,f2,0.614,0.73,0.483,0.581,0.518,0.685,0.541
rad,pri,p,adasyns,30,pre,0.608,0.726,0.471,0.571,0.506,0.681,0.532
rad,pri,p,adasyns,30,rec,0.613,0.725,0.487,0.583,0.521,0.675,0.546
rad,pri,p,adasyns,30,acc,0.612,0.734,0.47,0.573,0.506,0.674,0.536
rad,pri,p,smote,30,acc,0.557,0.729,0.32,0.444,0.36,0.613,0.512
rad,pri,p,rando,30,rec,0.56,0.703,0.357,0.473,0.396,0.613,0.51
rad,pri,p,rando,30,f2,0.56,0.703,0.357,0.473,0.396,0.613,0.51
rad,pri,p,smote,15,pre,0.553,0.738,0.301,0.427,0.341,0.611,0.51
rad,pri,p,smote,15,acc,0.557,0.728,0.319,0.443,0.359,0.611,0.509
rad,pri,p,rando,15,rec,0.555,0.698,0.347,0.464,0.386,0.61,0.504
rad,pri,p,rando,15,f2,0.555,0.698,0.347,0.464,0.386,0.61,0.504
rad,pri,p,adasyns,15,acc,0.552,0.729,0.306,0.431,0.346,0.607,0.502
rad,pri,p,smote,15,f2,0.554,0.708,0.332,0.452,0.372,0.605,0.501
rad,pri,p,smote,15,rec,0.553,0.702,0.335,0.453,0.374,0.604,0.501
rad,pri,p,rando,30,pre,0.553,0.72,0.315,0.438,0.355,0.603,0.513
rad,pri,p,rando,30,acc,0.553,0.72,0.317,0.44,0.357,0.603,0.513
rad,pri,p,smote,30,rec,0.552,0.702,0.334,0.453,0.373,0.602,0.503
rad,pri,p,smote,30,f2,0.552,0.702,0.334,0.453,0.373,0.602,0.503
rad,pri,p,adasyns,15,pre,0.543,0.729,0.281,0.405,0.32,0.601,0.5
rad,pri,p,adasyns,15,rec,0.547,0.71,0.309,0.43,0.348,0.596,0.498
rad,pri,p,adasyns,15,f2,0.547,0.71,0.309,0.43,0.348,0.596,0.498
rad,pri,p,smote,30,pre,0.546,0.732,0.284,0.409,0.324,0.595,0.502
rad,pri,p,rando,15,acc,0.548,0.716,0.304,0.427,0.344,0.593,0.507
rad,pri,p,rando,15,pre,0.547,0.71,0.308,0.429,0.347,0.591,0.508
