,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,rando,300,rec,0.789,0.768,0.886,0.823,0.86,0.875,0.678
rad,pri,p,rando,300,acc,0.791,0.772,0.883,0.824,0.858,0.874,0.687
rad,pri,p,rando,300,f2,0.788,0.769,0.885,0.822,0.859,0.873,0.681
rad,pri,p,smote,300,acc,0.788,0.779,0.862,0.819,0.844,0.871,0.684
rad,pri,p,smote,300,rec,0.791,0.78,0.866,0.821,0.848,0.871,0.679
rad,pri,p,adasyns,300,acc,0.792,0.788,0.854,0.82,0.84,0.869,0.7
rad,pri,p,adasyns,300,rec,0.792,0.788,0.854,0.82,0.84,0.869,0.7
rad,pri,p,adasyns,300,f2,0.792,0.788,0.854,0.82,0.84,0.869,0.7
rad,pri,p,adasyns,300,pre,0.796,0.792,0.857,0.823,0.843,0.869,0.698
rad,pri,p,smote,300,f2,0.788,0.777,0.867,0.819,0.847,0.869,0.682
rad,pri,p,rando,300,pre,0.794,0.774,0.886,0.827,0.861,0.869,0.69
rad,pri,p,smote,300,pre,0.787,0.778,0.862,0.818,0.844,0.868,0.683
rad,pri,p,smote,200,rec,0.788,0.777,0.864,0.818,0.845,0.867,0.689
rad,pri,p,smote,200,f2,0.789,0.778,0.866,0.82,0.847,0.865,0.688
rad,pri,p,rando,200,f2,0.784,0.763,0.885,0.82,0.858,0.864,0.69
rad,pri,p,rando,200,rec,0.783,0.762,0.885,0.819,0.857,0.863,0.69
rad,pri,p,rando,200,acc,0.779,0.761,0.877,0.815,0.851,0.862,0.679
rad,pri,p,adasyns,200,rec,0.783,0.786,0.838,0.811,0.827,0.861,0.689
rad,pri,p,adasyns,200,f2,0.783,0.786,0.838,0.811,0.827,0.861,0.689
rad,pri,p,adasyns,200,acc,0.784,0.787,0.836,0.811,0.826,0.86,0.695
rad,pri,p,adasyns,200,pre,0.781,0.784,0.835,0.809,0.824,0.859,0.687
rad,pri,p,smote,200,pre,0.78,0.773,0.854,0.812,0.837,0.859,0.676
rad,pri,p,smote,200,acc,0.781,0.774,0.855,0.812,0.837,0.858,0.686
rad,pri,p,rando,200,pre,0.779,0.762,0.875,0.815,0.85,0.853,0.673
rad,pri,p,rando,100,acc,0.75,0.736,0.857,0.792,0.83,0.823,0.647
rad,pri,p,rando,100,rec,0.751,0.736,0.859,0.793,0.831,0.823,0.654
