,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,300,rec,0.76,0.75,0.806,0.777,0.794,0.845,0.677
rad,pri,p,-,300,f2,0.765,0.754,0.813,0.782,0.801,0.844,0.685
rad,pri,p,-,300,acc,0.76,0.751,0.803,0.776,0.792,0.843,0.679
rad,pri,p,-,200,pre,0.763,0.755,0.804,0.779,0.794,0.843,0.685
rad,pri,p,-,200,f2,0.759,0.748,0.808,0.777,0.795,0.843,0.687
rad,pri,p,-,300,pre,0.759,0.754,0.794,0.774,0.786,0.842,0.68
rad,pri,p,-,200,acc,0.76,0.751,0.802,0.776,0.792,0.842,0.683
rad,pri,p,-,100,acc,0.737,0.734,0.773,0.753,0.765,0.804,0.663
rad,pri,p,-,100,pre,0.731,0.73,0.766,0.747,0.758,0.801,0.652
rad,pri,p,-,100,f2,0.719,0.706,0.784,0.743,0.767,0.79,0.657
rad,pri,p,-,60,pre,0.7,0.701,0.737,0.719,0.73,0.761,0.618
rad,pri,p,-,60,acc,0.694,0.694,0.733,0.713,0.725,0.759,0.612
rad,pri,p,-,60,f2,0.538,0.529,0.995,0.691,0.846,0.682,0.495
rad,pri,p,-,30,pre,0.63,0.612,0.784,0.687,0.742,0.68,0.593
rad,pri,p,-,30,acc,0.62,0.597,0.824,0.693,0.766,0.669,0.586
rad,pri,p,-,15,pre,0.61,0.583,0.869,0.698,0.792,0.635,0.554
rad,pri,p,-,15,acc,0.604,0.579,0.87,0.695,0.79,0.628,0.55
rad,pri,p,-,200,rec,0.519,0.519,1.0,0.683,0.844,0.617,0.489
rad,pri,p,-,100,rec,0.519,0.519,1.0,0.683,0.844,0.579,0.489
rad,pri,p,-,15,f2,0.522,0.521,1.0,0.685,0.844,0.577,0.489
rad,pri,p,-,60,rec,0.519,0.519,1.0,0.683,0.844,0.572,0.489
rad,pri,p,-,15,rec,0.519,0.519,1.0,0.683,0.844,0.565,0.489
rad,pri,p,-,30,rec,0.519,0.519,1.0,0.683,0.844,0.563,0.489
rad,pri,p,-,30,f2,0.519,0.519,1.0,0.683,0.844,0.563,0.489
