,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,adasyns,30,rec,0.69,0.714,0.734,0.724,0.73,0.752,0.598
rad,pri,p,adasyns,30,f2,0.69,0.714,0.734,0.724,0.73,0.752,0.598
rad,pri,p,adasyns,30,acc,0.691,0.715,0.736,0.725,0.732,0.751,0.604
rad,pri,p,smote,30,rec,0.695,0.712,0.755,0.733,0.746,0.744,0.592
rad,pri,p,smote,30,acc,0.69,0.708,0.749,0.728,0.741,0.742,0.585
rad,pri,p,smote,30,f2,0.694,0.71,0.757,0.733,0.747,0.742,0.581
rad,pri,p,smote,30,pre,0.692,0.71,0.753,0.731,0.744,0.74,0.578
rad,pri,p,rando,30,acc,0.674,0.686,0.759,0.721,0.743,0.722,0.575
rad,pri,p,rando,30,f2,0.677,0.688,0.763,0.724,0.747,0.721,0.583
rad,pri,p,rando,30,pre,0.668,0.682,0.75,0.714,0.735,0.716,0.572
rad,pri,p,rando,30,rec,0.666,0.68,0.749,0.713,0.734,0.715,0.564
rad,pri,p,rando,15,rec,0.652,0.674,0.72,0.696,0.71,0.695,0.557
rad,pri,p,smote,15,acc,0.651,0.679,0.704,0.691,0.699,0.694,0.549
rad,pri,p,smote,15,pre,0.65,0.679,0.698,0.688,0.694,0.692,0.554
rad,pri,p,adasyns,15,f2,0.65,0.677,0.705,0.691,0.699,0.692,0.561
rad,pri,p,rando,15,f2,0.651,0.672,0.723,0.696,0.712,0.692,0.551
rad,pri,p,smote,15,f2,0.653,0.679,0.709,0.693,0.703,0.691,0.558
rad,pri,p,adasyns,15,acc,0.644,0.679,0.679,0.679,0.679,0.689,0.557
rad,pri,p,smote,15,rec,0.646,0.674,0.7,0.687,0.694,0.687,0.552
rad,pri,p,rando,15,acc,0.647,0.671,0.711,0.691,0.703,0.686,0.55
rad,pri,p,rando,15,pre,0.649,0.671,0.72,0.695,0.71,0.686,0.552
rad,pri,p,adasyns,15,pre,0.646,0.683,0.675,0.679,0.677,0.685,0.556
rad,pri,p,adasyns,15,rec,0.554,0.554,1.0,0.713,0.861,0.584,0.524
