,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,smote,300,acc,0.773,0.765,0.852,0.806,0.833,0.836,0.668
rad,pri,p,smote,200,acc,0.773,0.765,0.852,0.806,0.833,0.836,0.668
rad,pri,p,adasyns,200,pre,0.769,0.766,0.84,0.801,0.824,0.834,0.658
rad,pri,p,adasyns,300,pre,0.769,0.766,0.84,0.801,0.824,0.834,0.658
rad,pri,p,adasyns,200,acc,0.771,0.766,0.844,0.803,0.827,0.834,0.665
rad,pri,p,adasyns,300,acc,0.771,0.766,0.844,0.803,0.827,0.834,0.665
rad,pri,p,smote,300,rec,0.769,0.763,0.847,0.803,0.829,0.834,0.655
rad,pri,p,smote,200,rec,0.769,0.763,0.847,0.803,0.829,0.834,0.655
rad,pri,p,smote,300,f2,0.769,0.763,0.847,0.803,0.829,0.834,0.655
rad,pri,p,smote,200,f2,0.769,0.763,0.847,0.803,0.829,0.834,0.655
rad,pri,p,rando,200,acc,0.763,0.75,0.858,0.8,0.834,0.834,0.652
rad,pri,p,rando,300,acc,0.763,0.75,0.858,0.8,0.834,0.834,0.652
rad,pri,p,rando,200,rec,0.765,0.752,0.858,0.802,0.835,0.834,0.654
rad,pri,p,rando,300,rec,0.765,0.752,0.858,0.802,0.835,0.834,0.654
rad,pri,p,rando,200,pre,0.765,0.752,0.86,0.802,0.836,0.834,0.653
rad,pri,p,rando,300,pre,0.765,0.752,0.86,0.802,0.836,0.834,0.653
rad,pri,p,adasyns,200,f2,0.764,0.76,0.839,0.798,0.822,0.833,0.656
rad,pri,p,adasyns,300,f2,0.764,0.76,0.839,0.798,0.822,0.833,0.656
rad,pri,p,adasyns,200,rec,0.771,0.766,0.844,0.803,0.827,0.833,0.663
rad,pri,p,adasyns,300,rec,0.771,0.766,0.844,0.803,0.827,0.833,0.663
rad,pri,p,rando,200,f2,0.769,0.755,0.865,0.806,0.84,0.833,0.656
rad,pri,p,rando,300,f2,0.769,0.755,0.865,0.806,0.84,0.833,0.656
rad,pri,p,smote,300,pre,0.759,0.758,0.831,0.793,0.815,0.824,0.644
rad,pri,p,smote,200,pre,0.759,0.758,0.831,0.793,0.815,0.824,0.644
rad,pri,p,smote,100,f2,0.72,0.729,0.787,0.757,0.775,0.789,0.603
rad,pri,p,smote,100,acc,0.722,0.73,0.793,0.76,0.78,0.788,0.603
rad,pri,p,smote,100,pre,0.721,0.732,0.783,0.757,0.772,0.787,0.604
rad,pri,p,rando,100,pre,0.717,0.717,0.808,0.76,0.788,0.786,0.603
rad,pri,p,rando,100,acc,0.723,0.722,0.815,0.765,0.794,0.785,0.609
rad,pri,p,rando,100,rec,0.723,0.721,0.814,0.765,0.794,0.783,0.615
rad,pri,p,rando,100,f2,0.723,0.721,0.814,0.765,0.794,0.783,0.615
rad,pri,p,adasyns,100,acc,0.716,0.735,0.762,0.748,0.756,0.78,0.604
rad,pri,p,adasyns,100,rec,0.718,0.737,0.764,0.75,0.758,0.78,0.611
rad,pri,p,adasyns,100,pre,0.715,0.732,0.766,0.748,0.759,0.78,0.6
rad,pri,p,smote,60,rec,0.713,0.73,0.766,0.747,0.758,0.777,0.598
rad,pri,p,adasyns,100,f2,0.713,0.731,0.762,0.746,0.756,0.776,0.606
rad,pri,p,smote,60,acc,0.71,0.728,0.759,0.743,0.753,0.775,0.595
rad,pri,p,smote,100,rec,0.714,0.732,0.763,0.747,0.756,0.775,0.592
rad,pri,p,smote,60,f2,0.709,0.725,0.767,0.745,0.758,0.772,0.598
rad,pri,p,rando,60,pre,0.714,0.713,0.809,0.758,0.788,0.769,0.604
rad,pri,p,smote,60,pre,0.705,0.721,0.762,0.741,0.754,0.768,0.595
rad,pri,p,rando,60,f2,0.71,0.709,0.81,0.756,0.787,0.768,0.594
rad,pri,p,rando,60,rec,0.711,0.709,0.81,0.756,0.787,0.766,0.605
rad,pri,p,rando,60,acc,0.711,0.713,0.801,0.755,0.782,0.765,0.598
rad,pri,p,adasyns,60,f2,0.709,0.73,0.753,0.741,0.748,0.763,0.606
rad,pri,p,adasyns,60,pre,0.701,0.723,0.746,0.734,0.741,0.761,0.594
rad,pri,p,adasyns,60,acc,0.704,0.725,0.749,0.737,0.744,0.761,0.602
rad,pri,p,adasyns,60,rec,0.702,0.726,0.743,0.734,0.74,0.758,0.589
rad,pri,p,adasyns,30,pre,0.697,0.721,0.738,0.729,0.735,0.754,0.617
