,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,200,acc,0.72,0.708,0.743,0.725,0.736,0.792,0.631
rad,pri,p,-,300,acc,0.72,0.708,0.743,0.725,0.736,0.792,0.631
rad,pri,p,-,200,pre,0.715,0.701,0.747,0.723,0.737,0.792,0.619
rad,pri,p,-,300,pre,0.715,0.701,0.747,0.723,0.737,0.792,0.619
rad,pri,p,-,200,rec,0.719,0.704,0.748,0.725,0.739,0.792,0.625
rad,pri,p,-,300,rec,0.719,0.704,0.748,0.725,0.739,0.792,0.625
rad,pri,p,-,200,f2,0.719,0.704,0.748,0.725,0.739,0.792,0.625
rad,pri,p,-,300,f2,0.719,0.704,0.748,0.725,0.739,0.792,0.625
rad,pri,p,-,100,acc,0.705,0.693,0.731,0.711,0.723,0.776,0.623
rad,pri,p,-,100,pre,0.697,0.688,0.716,0.701,0.71,0.771,0.603
rad,pri,p,-,100,f2,0.694,0.678,0.733,0.704,0.721,0.766,0.6
rad,pri,p,-,100,rec,0.683,0.665,0.733,0.697,0.718,0.761,0.584
rad,pri,p,-,60,acc,0.679,0.669,0.701,0.685,0.695,0.749,0.588
rad,pri,p,-,60,pre,0.677,0.67,0.692,0.681,0.687,0.748,0.59
rad,pri,p,-,60,f2,0.666,0.647,0.719,0.681,0.704,0.737,0.571
rad,pri,p,-,30,f2,0.651,0.652,0.64,0.646,0.642,0.707,0.579
rad,pri,p,-,30,rec,0.649,0.648,0.641,0.645,0.643,0.704,0.585
rad,pri,p,-,30,acc,0.645,0.646,0.633,0.639,0.635,0.699,0.572
rad,pri,p,-,30,pre,0.647,0.648,0.635,0.641,0.637,0.699,0.574
rad,pri,p,-,15,pre,0.627,0.625,0.624,0.624,0.624,0.675,0.557
rad,pri,p,-,15,rec,0.624,0.62,0.629,0.624,0.627,0.673,0.553
rad,pri,p,-,15,f2,0.624,0.62,0.629,0.624,0.627,0.673,0.553
rad,pri,p,-,15,acc,0.619,0.616,0.621,0.618,0.62,0.672,0.554
rad,pri,p,-,60,rec,0.497,0.497,1.0,0.664,0.832,0.592,0.479
