,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,smote,30,pre,0.651,0.703,0.699,0.701,0.699,0.693,0.584
rad,pri,p,smote,30,acc,0.649,0.701,0.7,0.7,0.7,0.693,0.587
rad,pri,p,smote,30,rec,0.644,0.698,0.69,0.694,0.691,0.688,0.569
rad,pri,p,smote,30,f2,0.644,0.698,0.69,0.694,0.691,0.688,0.569
rad,pri,p,adasyns,15,pre,0.63,0.692,0.665,0.678,0.67,0.676,0.558
rad,pri,p,adasyns,15,rec,0.631,0.691,0.669,0.68,0.673,0.675,0.558
rad,pri,p,adasyns,15,acc,0.635,0.696,0.671,0.683,0.676,0.675,0.565
rad,pri,p,smote,15,f2,0.634,0.688,0.688,0.688,0.688,0.675,0.556
rad,pri,p,smote,15,acc,0.64,0.694,0.691,0.692,0.691,0.675,0.563
rad,pri,p,smote,15,pre,0.639,0.693,0.687,0.69,0.688,0.673,0.561
rad,pri,p,smote,15,rec,0.639,0.693,0.69,0.692,0.691,0.673,0.57
rad,pri,p,adasyns,15,f2,0.63,0.691,0.667,0.679,0.672,0.671,0.559
rad,pri,p,rando,30,pre,0.639,0.673,0.745,0.707,0.729,0.669,0.558
rad,pri,p,rando,30,acc,0.634,0.671,0.737,0.702,0.723,0.666,0.559
rad,pri,p,rando,30,f2,0.64,0.675,0.744,0.708,0.729,0.665,0.565
rad,pri,p,rando,15,acc,0.632,0.669,0.738,0.702,0.723,0.663,0.552
rad,pri,p,rando,30,rec,0.635,0.671,0.74,0.703,0.725,0.663,0.557
rad,pri,p,rando,15,rec,0.633,0.67,0.739,0.702,0.724,0.661,0.559
rad,pri,p,rando,15,pre,0.632,0.668,0.741,0.703,0.725,0.661,0.553
rad,pri,p,rando,15,f2,0.634,0.669,0.743,0.704,0.727,0.661,0.552
