,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,adasyns,200,acc,0.732,0.745,0.827,0.784,0.809,0.796,0.652
rad,pri,p,adasyns,300,acc,0.732,0.745,0.827,0.784,0.809,0.796,0.652
rad,pri,p,adasyns,200,f2,0.732,0.746,0.825,0.783,0.808,0.795,0.648
rad,pri,p,adasyns,300,f2,0.732,0.746,0.825,0.783,0.808,0.795,0.648
rad,pri,p,adasyns,200,rec,0.731,0.743,0.828,0.783,0.809,0.795,0.649
rad,pri,p,adasyns,300,rec,0.731,0.743,0.828,0.783,0.809,0.795,0.649
rad,pri,p,adasyns,200,pre,0.735,0.75,0.822,0.784,0.806,0.794,0.652
rad,pri,p,adasyns,300,pre,0.735,0.75,0.822,0.784,0.806,0.794,0.652
rad,pri,p,smote,300,f2,0.733,0.74,0.838,0.786,0.817,0.792,0.65
rad,pri,p,smote,200,f2,0.733,0.74,0.838,0.786,0.817,0.792,0.65
rad,pri,p,smote,300,rec,0.729,0.74,0.831,0.783,0.811,0.791,0.65
rad,pri,p,smote,200,rec,0.729,0.74,0.831,0.783,0.811,0.791,0.65
rad,pri,p,rando,300,rec,0.726,0.728,0.851,0.785,0.823,0.791,0.649
rad,pri,p,rando,200,rec,0.726,0.728,0.851,0.785,0.823,0.791,0.649
rad,pri,p,rando,300,f2,0.726,0.728,0.851,0.785,0.823,0.791,0.649
rad,pri,p,rando,200,f2,0.726,0.728,0.851,0.785,0.823,0.791,0.649
rad,pri,p,rando,300,acc,0.728,0.729,0.854,0.786,0.826,0.79,0.651
rad,pri,p,rando,200,acc,0.728,0.729,0.854,0.786,0.826,0.79,0.651
rad,pri,p,smote,300,acc,0.732,0.747,0.82,0.782,0.804,0.788,0.657
rad,pri,p,smote,200,acc,0.732,0.747,0.82,0.782,0.804,0.788,0.657
rad,pri,p,smote,300,pre,0.729,0.745,0.818,0.78,0.802,0.787,0.646
rad,pri,p,smote,200,pre,0.729,0.745,0.818,0.78,0.802,0.787,0.646
rad,pri,p,rando,300,pre,0.728,0.73,0.849,0.785,0.822,0.785,0.65
rad,pri,p,rando,200,pre,0.728,0.73,0.849,0.785,0.822,0.785,0.65
rad,pri,p,adasyns,100,pre,0.702,0.729,0.782,0.754,0.771,0.762,0.618
rad,pri,p,adasyns,100,acc,0.7,0.724,0.788,0.755,0.774,0.76,0.617
rad,pri,p,smote,100,rec,0.693,0.721,0.775,0.747,0.764,0.758,0.605
rad,pri,p,smote,100,f2,0.693,0.721,0.775,0.747,0.764,0.758,0.605
rad,pri,p,smote,100,pre,0.7,0.732,0.771,0.751,0.763,0.757,0.623
rad,pri,p,smote,100,acc,0.699,0.726,0.781,0.753,0.77,0.757,0.618
rad,pri,p,adasyns,100,f2,0.701,0.726,0.786,0.755,0.774,0.757,0.61
rad,pri,p,adasyns,100,rec,0.695,0.722,0.782,0.75,0.769,0.756,0.6
rad,pri,p,rando,100,acc,0.691,0.707,0.806,0.754,0.784,0.748,0.611
rad,pri,p,rando,100,rec,0.695,0.709,0.812,0.757,0.789,0.748,0.608
rad,pri,p,rando,100,f2,0.695,0.709,0.812,0.757,0.789,0.748,0.608
rad,pri,p,rando,100,pre,0.688,0.705,0.805,0.752,0.783,0.742,0.61
rad,pri,p,smote,60,f2,0.67,0.709,0.741,0.725,0.734,0.719,0.598
rad,pri,p,adasyns,60,rec,0.666,0.714,0.719,0.716,0.718,0.718,0.596
rad,pri,p,adasyns,60,f2,0.666,0.712,0.723,0.717,0.721,0.718,0.588
rad,pri,p,smote,60,rec,0.668,0.706,0.741,0.723,0.734,0.718,0.591
rad,pri,p,smote,60,pre,0.67,0.706,0.75,0.727,0.741,0.718,0.601
rad,pri,p,adasyns,60,pre,0.666,0.712,0.721,0.717,0.72,0.716,0.584
rad,pri,p,smote,60,acc,0.666,0.705,0.74,0.722,0.733,0.716,0.594
rad,pri,p,adasyns,60,acc,0.662,0.711,0.714,0.712,0.713,0.715,0.579
rad,pri,p,rando,60,acc,0.675,0.7,0.779,0.737,0.762,0.714,0.593
rad,pri,p,rando,60,rec,0.67,0.697,0.774,0.733,0.757,0.711,0.582
rad,pri,p,rando,60,f2,0.674,0.701,0.775,0.736,0.759,0.711,0.59
rad,pri,p,adasyns,30,pre,0.652,0.71,0.686,0.698,0.691,0.709,0.581
rad,pri,p,rando,60,pre,0.663,0.691,0.767,0.727,0.751,0.709,0.576
rad,pri,p,adasyns,30,rec,0.653,0.709,0.692,0.7,0.695,0.705,0.588
rad,pri,p,adasyns,30,acc,0.656,0.709,0.701,0.705,0.702,0.704,0.593
rad,pri,p,adasyns,30,f2,0.653,0.708,0.692,0.7,0.695,0.703,0.582
